time_step,kiv0_X,kiv0_Y,kiv0_X_EST,kiv0_Y_EST,kiv0_X_AVG,kiv0_Y_AVG,kiv0_X_MIN,kiv0_Y_MIN,kiv0_X_MAX,kiv0_Y_MAX,kiv0FRAC_MOVING_GPSBOTS,kiv0NUM_GPSBOTS,kiv0NUM_MOVING_GPSBOTS,kiv0NUM_CONNECTED_GPSBOTS,kiv1_X,kiv1_Y,kiv1_X_EST,kiv1_Y_EST,kiv1_X_AVG,kiv1_Y_AVG,kiv1_X_MIN,kiv1_Y_MIN,kiv1_X_MAX,kiv1_Y_MAX,kiv1FRAC_MOVING_GPSBOTS,kiv1NUM_GPSBOTS,kiv1NUM_MOVING_GPSBOTS,kiv1NUM_CONNECTED_GPSBOTS,kiv2_X,kiv2_Y,kiv2_X_EST,kiv2_Y_EST,kiv2_X_AVG,kiv2_Y_AVG,kiv2_X_MIN,kiv2_Y_MIN,kiv2_X_MAX,kiv2_Y_MAX,kiv2FRAC_MOVING_GPSBOTS,kiv2NUM_GPSBOTS,kiv2NUM_MOVING_GPSBOTS,kiv2NUM_CONNECTED_GPSBOTS,kiv3_X,kiv3_Y,kiv3_X_EST,kiv3_Y_EST,kiv3_X_AVG,kiv3_Y_AVG,kiv3_X_MIN,kiv3_Y_MIN,kiv3_X_MAX,kiv3_Y_MAX,kiv3FRAC_MOVING_GPSBOTS,kiv3NUM_GPSBOTS,kiv3NUM_MOVING_GPSBOTS,kiv3NUM_CONNECTED_GPSBOTS,kiv4_X,kiv4_Y,kiv4_X_EST,kiv4_Y_EST,kiv4_X_AVG,kiv4_Y_AVG,kiv4_X_MIN,kiv4_Y_MIN,kiv4_X_MAX,kiv4_Y_MAX,kiv4FRAC_MOVING_GPSBOTS,kiv4NUM_GPSBOTS,kiv4NUM_MOVING_GPSBOTS,kiv4NUM_CONNECTED_GPSBOTS,kiv5_X,kiv5_Y,kiv5_X_EST,kiv5_Y_EST,kiv5_X_AVG,kiv5_Y_AVG,kiv5_X_MIN,kiv5_Y_MIN,kiv5_X_MAX,kiv5_Y_MAX,kiv5FRAC_MOVING_GPSBOTS,kiv5NUM_GPSBOTS,kiv5NUM_MOVING_GPSBOTS,kiv5NUM_CONNECTED_GPSBOTS,kiv6_X,kiv6_Y,kiv6_X_EST,kiv6_Y_EST,kiv6_X_AVG,kiv6_Y_AVG,kiv6_X_MIN,kiv6_Y_MIN,kiv6_X_MAX,kiv6_Y_MAX,kiv6FRAC_MOVING_GPSBOTS,kiv6NUM_GPSBOTS,kiv6NUM_MOVING_GPSBOTS,kiv6NUM_CONNECTED_GPSBOTS
11,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0.780557,-0.362621,0.780557,-0.362621,0,-0.362621,0.780557,0,0.3,16,4,3,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0
12,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0.780557,-0.362621,0.780557,-0.362621,0,-0.362621,0.780557,0,0.3,16,4,2,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0
13,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0.780557,-0.362621,0.780557,-0.362621,0,-0.362621,0.780557,0,0.3,16,4,2,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0
14,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0.856152,-0.398216,0.856152,-0.398216,0,-0.398216,0.856152,0,0.3,16,4,3,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0
15,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0.856152,-0.398216,0.856152,-0.398216,0,-0.398216,0.856152,0,0.3,16,4,2,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0
16,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0.856152,-0.398216,0.856152,-0.398216,0,-0.398216,0.856152,0,0.3,16,4,2,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0
17,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0.856152,-0.398216,0.856152,-0.398216,0,-0.398216,0.856152,0,0.3,16,4,2,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0
18,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0.856152,-0.398216,0.856152,-0.398216,0,-0.398216,0.856152,0,0.3,16,4,2,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0
19,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0.856152,-0.398216,0.856152,-0.398216,0,-0.398216,0.856152,0,0.3,16,4,2,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0
20,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0.856152,-0.398216,0.856152,-0.398216,0,-0.398216,0.856152,0,0.3,16,4,2,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0
21,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0.856152,-0.398216,0.856152,-0.398216,0,-0.398216,0.856152,0,0.3,16,4,2,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0
22,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0.856152,-0.398216,0.856152,-0.398216,0,-0.398216,0.856152,0,0.3,16,4,2,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0
23,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0.856152,-0.398216,0.856152,-0.398216,0,-0.398216,0.856152,0,0.3,16,4,2,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0
24,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0.856152,-0.398216,0.856152,-0.398216,0,-0.398216,0.856152,0,0.3,16,4,2,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0
25,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0.856152,-0.398216,0.856152,-0.398216,0,-0.398216,0.856152,0,0.3,16,4,2,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0
26,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0.856152,-0.398216,0.856152,-0.398216,0,-0.398216,0.856152,0,0.3,16,4,2,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0
27,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0.856152,-0.398216,0.856152,-0.398216,0,-0.398216,0.856152,0,0.3,16,4,2,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0
28,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0.856152,-0.398216,0.856152,-0.398216,0,-0.398216,0.856152,0,0.3,16,4,2,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0
29,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0.856152,-0.398216,0.856152,-0.398216,0,-0.398216,0.856152,0,0.3,16,4,2,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0
30,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0.856152,-0.398216,0.856152,-0.398216,0,-0.398216,0.856152,0,0.3,16,4,2,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0
31,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0.856152,-0.398216,0.856152,-0.398216,0,-0.398216,0.856152,0,0.3,16,4,2,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0
32,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0.856152,-0.398216,0.856152,-0.398216,0,-0.398216,0.856152,0,0.3,16,4,2,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0
33,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0.856152,-0.398216,0.856152,-0.398216,0,-0.398216,0.856152,0,0.3,16,4,2,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0
34,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0.856152,-0.398216,0.856152,-0.398216,0,-0.398216,0.856152,0,0.3,16,4,2,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0
35,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0.856152,-0.398216,0.856152,-0.398216,0,-0.398216,0.856152,0,0.3,16,4,2,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0
36,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0.856152,-0.398216,0.856152,-0.398216,0,-0.398216,0.856152,0,0.3,16,4,2,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0
37,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0.856152,-0.398216,0.856152,-0.398216,0,-0.398216,0.856152,0,0.3,16,4,2,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0
38,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0.856152,-0.398216,0.856152,-0.398216,0,-0.398216,0.856152,0,0.3,16,4,2,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0
39,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0.856152,-0.398216,0.856152,-0.398216,0,-0.398216,0.856152,0,0.3,16,4,2,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0
40,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0.856152,-0.398216,0.856152,-0.398216,0,-0.398216,0.856152,0,0.3,16,4,2,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0
41,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0.856152,-0.398216,0.856152,-0.398216,0,-0.398216,0.856152,0,0.3,16,4,2,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0
42,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0.856152,-0.398216,0.856152,-0.398216,0,-0.398216,0.856152,0,0.3,16,4,2,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0
43,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0.856152,-0.398216,0.856152,-0.398216,0,-0.398216,0.856152,0,0.3,16,4,2,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0
44,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0.856152,-0.398216,0.856152,-0.398216,0,-0.398216,0.856152,0,0.3,16,4,2,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0
45,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0.783555,-0.3174,0.783555,-0.3174,0,-0.3174,0.783555,0,0.3,16,4,3,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0
46,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0.772063,-0.39496,0.772063,-0.39496,0,-0.39496,0.772063,0,0.3,16,4,3,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0
47,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0.755969,-0.393833,0.755969,-0.393833,0,-0.393833,0.755969,0,0.3,16,4,3,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0
48,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0.763717,-0.373005,0.763717,-0.373005,0,-0.373005,0.763717,0,0.3,16,4,3,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0,0,0,0,0,0,0,0,0,0,0,0.3,16,4,0
