1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,6,8,6,3,2,2,6,6,3,5,4,6,5,5
4,5,7,5,3,2,3,5,5,2,4,4,5,5,5
5,5,6,5,4,1,4,4,4,1,4,4,5,4,5
6,4,5,4,4,1,3,4,3,1,3,4,4,5,4
7,3,4,3,3,1,3,3,3,1,2,3,3,4,3
8,2,3,2,2,1,2,3,2,2,2,3,2,3,2
9,2,2,2,1,1,1,2,2,1,2,3,2,2,1
10,1,1,1,0,0,1,1,1,1,1,2,1,1,1
11,1,1,1,1,1,2,0,1,1,0,1,1,2,1
12,3,2,3,1,1,2,3,3,3,4,4,4,2,3
13,3,2,3,2,0,3,2,2,2,3,4,3,3,3
14,2,1,2,2,0,3,1,2,2,2,3,2,2,2
15,1,0,1,1,0,2,1,2,1,1,2,1,2,1
16,1,0,1,0,0,1,1,1,1,1,2,1,1,0
17,2,1,2,2,0,2,1,0,0,1,2,2,2,2
18,2,2,3,1,1,3,2,2,2,3,3,3,1,3
19,2,1,3,0,1,2,2,3,2,4,3,3,3,3
20,3,1,4,1,1,3,1,2,1,3,3,4,3,4
21,3,1,3,2,1,3,1,2,1,2,2,3,3,3
22,2,1,2,2,3,3,2,2,2,2,1,2,2,2
23,1,0,1,1,2,2,1,1,1,1,0,1,1,1
24,0,0,0,0,1,1,0,0,0,0,0,0,0,0
25,6,8,6,2,2,3,5,5,3,7,6,7,4,5
26,6,7,6,4,2,6,4,4,2,6,5,6,5,5
27,6,6,6,4,1,5,3,3,1,5,5,6,4,5
28,5,5,5,4,1,6,2,2,0,4,4,5,5,4
29,4,5,4,3,2,5,3,3,1,4,3,4,4,3
30,3,4,3,3,2,4,3,3,3,3,2,3,3,2
31,2,3,2,2,3,3,2,3,2,3,2,2,2,2
32,1,2,1,1,2,2,2,2,1,2,2,1,1,1
33,0,1,0,1,1,2,1,1,0,1,1,0,1,1
34,1,2,1,2,2,2,2,3,1,3,2,1,2,2
35,2,1,2,2,1,3,3,3,1,3,2,2,3,3
36,1,0,1,1,1,2,2,2,1,2,1,1,2,2
37,0,0,0,1,1,2,1,1,1,1,0,0,1,1
38,1,1,1,1,1,2,1,2,0,2,1,1,2,2
39,1,1,0,1,2,2,2,2,1,2,1,0,1,1
40,2,2,1,1,2,2,2,3,1,3,3,2,2,2
41,2,1,2,2,1,3,2,3,0,3,2,2,3,3
42,2,1,1,1,2,2,3,3,1,3,2,1,2,2
43,1,1,0,1,2,2,2,2,2,2,1,0,1,1
44,2,2,2,2,2,3,2,3,1,3,3,2,3,3
45,1,1,1,1,1,2,1,2,0,2,2,1,2,2
46,1,1,0,1,2,2,2,2,1,2,1,0,1,1
47,2,2,1,1,2,2,2,3,1,3,3,2,2,2
48,1,1,1,2,1,3,1,2,0,2,2,1,2,2
49,1,1,0,1,2,2,1,2,1,2,1,0,1,1
50,2,2,1,1,2,2,1,3,1,3,3,1,2,2
51,2,1,1,2,1,3,0,3,1,3,3,1,2,2
52,1,1,0,1,2,2,0,2,1,2,2,0,1,1
53,2,2,1,1,2,2,0,3,1,3,3,1,2,2
54,1,1,1,2,1,3,0,2,0,2,2,1,2,2
55,1,1,0,1,2,2,1,2,1,2,1,0,1,1
56,2,2,1,1,2,2,1,3,1,3,2,1,2,2
57,1,1,1,2,1,3,1,2,0,2,2,1,2,2
58,1,1,0,1,2,2,2,2,1,2,1,0,1,1
59,2,2,1,1,2,2,1,3,1,3,2,1,2,2
60,1,1,1,2,1,3,1,2,0,2,2,1,2,2
61,1,1,0,1,2,2,2,2,1,2,1,0,1,1
62,2,2,1,1,2,2,1,3,1,3,2,1,2,2
63,1,1,1,2,1,3,1,2,0,2,2,1,2,2
64,1,1,0,1,2,2,2,2,2,2,1,0,1,1
65,2,2,1,1,1,2,1,3,1,3,2,1,2,2
66,1,1,1,2,1,3,1,2,0,2,2,1,2,2
67,1,1,0,1,2,2,2,2,2,2,1,0,1,1
68,2,2,1,1,1,2,1,3,1,3,2,1,2,2
69,1,1,1,2,1,3,1,2,0,2,2,1,2,2
70,1,1,0,1,2,2,2,2,2,2,1,0,1,1
71,2,2,1,1,1,2,2,3,1,3,2,1,2,2
72,1,1,1,2,1,3,1,2,0,2,2,1,2,2
73,1,1,0,1,2,2,1,2,2,2,1,0,1,1
74,2,2,1,1,1,2,1,3,1,3,2,1,2,2
75,1,1,1,2,1,3,1,2,0,2,2,1,2,2
76,1,1,0,1,2,2,1,2,2,2,1,0,1,1
77,2,2,1,1,1,2,1,3,1,3,2,1,2,2
78,1,1,1,2,1,3,1,2,0,2,2,1,2,2
79,1,1,0,1,2,2,1,2,2,2,1,0,1,1
80,2,2,1,1,1,2,1,3,1,3,2,1,2,2
81,1,1,1,2,1,3,1,2,0,2,2,1,2,2
82,1,1,0,1,2,2,2,2,2,2,1,0,1,1
83,2,2,1,1,1,2,2,3,1,3,2,1,2,2
84,1,1,1,2,1,3,2,2,0,2,2,1,2,2
85,1,1,0,1,2,2,2,2,2,2,1,0,1,1
86,2,2,1,1,1,2,2,3,1,3,2,1,2,2
87,1,1,1,2,1,3,2,2,1,2,2,1,2,2
88,0,0,0,1,1,2,1,1,1,1,1,0,1,1
89,1,1,1,1,0,2,1,2,0,2,2,1,2,2
90,3,2,1,3,3,3,2,4,3,3,2,1,2,2
91,2,2,0,2,2,2,2,3,3,2,2,1,1,2
92,2,2,1,3,2,3,1,3,2,2,2,1,2,2
93,1,1,1,2,1,3,2,2,1,2,2,1,2,2
94,0,0,0,1,0,2,1,1,1,1,1,0,1,1
95,2,2,1,2,1,2,1,3,2,2,2,1,2,2
96,2,1,1,3,2,3,1,3,3,2,2,1,2,1
97,1,1,1,2,1,3,2,2,2,2,1,0,2,2
98,1,1,1,1,0,2,2,2,1,2,2,1,2,2
99,1,1,0,2,1,2,1,2,2,1,1,0,1,1
100,2,2,1,2,1,2,1,3,2,2,2,1,2,2
